,STRUCTURE_ID,COUNTY,OWNER,AGE,CONDITION,COLOR,COORDINATES
64,050A7820001,Blount,COUNTY HIGHWAY AGENCY,19.0,Good,Green,"[-84.02805736699997, 35.647391678000076]"
65,050A8060001,Blount,COUNTY HIGHWAY AGENCY,35.0,Good,Green,"[-84.07882776299994, 35.61462774900008]"
66,050A8440001,Blount,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-84.10625224299997, 35.65858327700005]"
67,050A8600001,Blount,COUNTY HIGHWAY AGENCY,32.0,Good,Green,"[-84.09659082499996, 35.60596692000007]"
68,050A8630001,Blount,COUNTY HIGHWAY AGENCY,103.0,Fair,Yellow,"[-84.14972083399994, 35.60546758300006]"
69,050B0950001,Blount,CITY OR MUNICIPAL HIGHWAY AGENCY,68.0,Fair,Yellow,"[-83.96647128799998, 35.76156178100007]"
70,050A5270001,Blount,COUNTY HIGHWAY AGENCY,36.0,Good,Green,"[-83.76783113999994, 35.78579637400003]"
71,050A7700001,Blount,COUNTY HIGHWAY AGENCY,116.0,Fair,Yellow,"[-84.04579257799998, 35.664078225000026]"
72,01S24740001,Anderson,STATE HIGHWAY AGENCY,60.0,Fair,Yellow,"[-84.16597658099994, 36.01774026700008]"
73,01S23950001,Anderson,STATE HIGHWAY AGENCY,32.0,Fair,Yellow,"[-84.31422215099997, 36.047463047000065]"
74,01S26130005,Anderson,STATE HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.27163299699998, 36.091698731000065]"
75,02F00070001,Bedford,COUNTY HIGHWAY AGENCY,13.0,Good,Green,"[-86.64005175099999, 35.423580626000046]"
76,02F00070003,Bedford,COUNTY HIGHWAY AGENCY,68.0,Good,Green,"[-86.63792413399995, 35.42353309500004]"
77,02S42910005,Bedford,COUNTY HIGHWAY AGENCY,62.0,Good,Green,"[-86.30039407199996, 35.45783288700005]"
78,02S42910007,Bedford,COUNTY HIGHWAY AGENCY,62.0,Good,Green,"[-86.29243218599998, 35.45718423500006]"
79,050B0950003,Blount,CITY OR MUNICIPAL HIGHWAY AGENCY,78.0,Fair,Yellow,"[-83.96447486599999, 35.764184483000065]"
80,050B2020001,Blount,CITY OR MUNICIPAL HIGHWAY AGENCY,88.0,Fair,Yellow,"[-83.96970235699996, 35.755040603000054]"
81,050A3540001,Blount,COUNTY HIGHWAY AGENCY,83.0,Fair,Yellow,"[-83.93616558499997, 35.850906020000025]"
82,050A5310001,Blount,COUNTY HIGHWAY AGENCY,88.0,Fair,Yellow,"[-83.76730806899997, 35.81877224500005]"
83,050A5450001,Blount,COUNTY HIGHWAY AGENCY,98.0,Fair,Yellow,"[-83.81559411799998, 35.77210140700004]"
84,050A5530003,Blount,COUNTY HIGHWAY AGENCY,13.0,Good,Green,"[-83.81341148699994, 35.72807731700004]"
85,050A5540001,Blount,COUNTY HIGHWAY AGENCY,5.0,Good,Green,"[-83.78808951699995, 35.73817734100004]"
86,050A5540003,Blount,COUNTY HIGHWAY AGENCY,3.0,Good,Green,"[-83.78359311599996, 35.739647354000056]"
87,050A5680001,Blount,CITY OR MUNICIPAL HIGHWAY AGENCY,54.0,Fair,Yellow,"[-83.75638751099996, 35.67683835300005]"
88,050A6320001,Blount,COUNTY HIGHWAY AGENCY,48.0,Poor,Orange,"[-83.91288231099998, 35.71050030300006]"
89,03E03470001,Benton,STATE HIGHWAY AGENCY,50.0,Fair,Yellow,"[-87.994128, 35.90380238800003]"
90,020A2850005,Bedford,COUNTY HIGHWAY AGENCY,34.0,Fair,Yellow,"[-86.52489133699999, 35.39572904900007]"
91,020A2850009,Bedford,COUNTY HIGHWAY AGENCY,25.0,Good,Green,"[-86.53547657599995, 35.41303054400004]"
92,020A2900001,Bedford,COUNTY HIGHWAY AGENCY,53.0,Fair,Yellow,"[-86.55383230599995, 35.393552079000074]"
93,020A2900005,Bedford,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-86.51535004999994, 35.37568665300006]"
94,020A3100003,Bedford,COUNTY HIGHWAY AGENCY,68.0,Fair,Yellow,"[-86.25429095499999, 35.44626113800007]"
95,020A3100001,Bedford,CITY OR MUNICIPAL HIGHWAY AGENCY,78.0,Poor,Orange,"[-86.25794965999995, 35.44851414500005]"
96,020A3190001,Bedford,COUNTY HIGHWAY AGENCY,14.0,Good,Green,"[-86.59362204699994, 35.39337831200004]"
97,020A3250003,Bedford,COUNTY HIGHWAY AGENCY,13.0,Good,Green,"[-86.51675341899994, 35.46002364000003]"
98,020A3510001,Bedford,COUNTY HIGHWAY AGENCY,36.0,Good,Green,"[-86.64063478499997, 35.44005800800005]"
99,020A3550001,Bedford,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-86.53028884999998, 35.43889756000004]"
100,020A3570001,Bedford,COUNTY HIGHWAY AGENCY,11.0,Fair,Yellow,"[-86.64657306699996, 35.46443332600006]"
101,01I00750036,Anderson,STATE HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.16042704799997, 36.23371778500007]"
102,01I00750040,Anderson,STATE HIGHWAY AGENCY,53.0,Fair,Yellow,"[-84.16532958499994, 36.23564492200006]"
103,02SR0160017,Bedford,STATE HIGHWAY AGENCY,80.0,Good,Green,"[-86.51743689299997, 35.53408902900003]"
104,02SR0160023,Bedford,STATE HIGHWAY AGENCY,78.0,Fair,Yellow,"[-86.45809406099994, 35.48888866800007]"
105,02SR0160025,Bedford,STATE HIGHWAY AGENCY,59.0,Good,Green,"[-86.43615512099996, 35.48606307500006]"
106,02SR0160033,Bedford,STATE HIGHWAY AGENCY,76.0,Good,Green,"[-86.30211326799997, 35.44219267600005]"
107,02SR0640001,Bedford,STATE HIGHWAY AGENCY,59.0,Fair,Yellow,"[-86.60563614399996, 35.48330347000007]"
108,02SR0640005,Bedford,STATE HIGHWAY AGENCY,59.0,Good,Green,"[-86.55938003699998, 35.45687185200006]"
109,02SR0640009,Bedford,STATE HIGHWAY AGENCY,59.0,Fair,Yellow,"[-86.50901649199994, 35.45621526000008]"
110,01SR0950005,Anderson,STATE HIGHWAY AGENCY,72.0,Fair,Yellow,"[-84.26372687499997, 36.01278766300004]"
111,01SR0950009,Anderson,STATE HIGHWAY AGENCY,73.0,Fair,Yellow,"[-84.20965477999994, 36.04510616500005]"
112,01SR1160005,Anderson,STATE HIGHWAY AGENCY,26.0,Fair,Yellow,"[-84.37752688399996, 36.15525425300007]"
113,01SR1160011,Anderson,STATE HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.27579980799999, 36.17094816400004]"
114,01SR1160019,Anderson,STATE HIGHWAY AGENCY,41.0,Fair,Yellow,"[-84.35824030999999, 36.166508487000044]"
115,01SR1160007,Anderson,STATE HIGHWAY AGENCY,16.0,Good,Green,"[-84.33065920899998, 36.20215874000007]"
116,01SR1160015,Anderson,STATE HIGHWAY AGENCY,32.0,Fair,Yellow,"[-84.16815261099998, 36.20412044600005]"
117,01SR1160017,Anderson,STATE HIGHWAY AGENCY,41.0,Fair,Yellow,"[-84.16133465499996, 36.21868591700007]"
118,02019930003,Bedford,COUNTY HIGHWAY AGENCY,68.0,Fair,Yellow,"[-86.44260214299999, 35.335990794000054]"
119,02019930007,Bedford,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-86.42335993599994, 35.37153382200006]"
120,05SR0330017,Blount,STATE HIGHWAY AGENCY,75.0,Fair,Yellow,"[-83.94359628899997, 35.871463997000035]"
121,05SR0350003,Blount,STATE HIGHWAY AGENCY,60.0,Fair,Yellow,"[-83.98444549499999, 35.78190819800005]"
122,06SR0404013,Bradley,STATE HIGHWAY AGENCY,46.0,Good,Green,"[-84.88555690199996, 35.13162885200006]"
123,06S43080003,Bradley,STATE HIGHWAY AGENCY,68.0,Good,Green,"[-84.96686263599997, 35.17736358500008]"
124,06I00750011,Bradley,STATE HIGHWAY AGENCY,53.0,Good,Green,"[-84.91730448699997, 35.17643134400004]"
125,06011520001,Bradley,STATE HIGHWAY AGENCY,63.0,Good,Green,"[-84.75659015299999, 35.054492183000036]"
126,06SR3170001,Bradley,STATE HIGHWAY AGENCY,24.0,Good,Green,"[-84.94424441899997, 35.019303586000035]"
127,060A0250001,Bradley,STATE HIGHWAY AGENCY,24.0,Good,Green,"[-84.94360859599999, 35.01955078200007]"
128,07S24450001,Campbell,COUNTY HIGHWAY AGENCY,82.0,Fair,Yellow,"[-84.12695248999995, 36.352839791000065]"
129,02S62590001,Bedford,COUNTY HIGHWAY AGENCY,48.0,Good,Green,"[-86.32950205499998, 35.39521687000007]"
130,03017510001,Benton,COUNTY HIGHWAY AGENCY,26.0,Fair,Yellow,"[-88.08512695799999, 36.087588949000065]"
131,03017530001,Benton,COUNTY HIGHWAY AGENCY,35.0,Fair,Yellow,"[-88.00255070099996, 36.256185403000075]"
132,03017530003,Benton,COUNTY HIGHWAY AGENCY,68.0,Fair,Yellow,"[-88.00019407299999, 36.255312590000074]"
133,03017530007,Benton,COUNTY HIGHWAY AGENCY,30.0,Fair,Yellow,"[-88.00927479199999, 36.17837072800006]"
134,03S81740005,Benton,COUNTY HIGHWAY AGENCY,60.0,Fair,Yellow,"[-88.07362410099995, 36.29988283000006]"
135,03S81740007,Benton,COUNTY HIGHWAY AGENCY,60.0,Fair,Yellow,"[-88.07592280999995, 36.326564166000026]"
136,03017590001,Benton,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-88.01966712799998, 36.31232186300008]"
137,05SR0330011,Blount,STATE HIGHWAY AGENCY,93.0,Good,Green,"[-83.93713745599996, 35.81916441800007]"
138,05SR0330013,Blount,STATE HIGHWAY AGENCY,94.0,Fair,Yellow,"[-83.94095789999994, 35.847470619000035]"
139,030A1700001,Benton,COUNTY HIGHWAY AGENCY,29.0,Fair,Yellow,"[-87.99683786599996, 36.14153814000008]"
140,030A1750001,Benton,COUNTY HIGHWAY AGENCY,6.0,Fair,Yellow,"[-87.98696738599995, 36.11486210800007]"
141,030A1810001,Benton,COUNTY HIGHWAY AGENCY,34.0,Fair,Yellow,"[-88.04573436399994, 36.08987822100005]"
142,030A1970001,Benton,CITY OR MUNICIPAL HIGHWAY AGENCY,36.0,Poor,Orange,"[-88.09321736299995, 36.06551748500004]"
143,030A2480001,Benton,COUNTY HIGHWAY AGENCY,35.0,Fair,Yellow,"[-88.05142310699995, 36.03237525900005]"
144,030A2750001,Benton,COUNTY HIGHWAY AGENCY,26.0,Fair,Yellow,"[-88.10696620799996, 36.02076931000005]"
145,030A3010001,Benton,COUNTY HIGHWAY AGENCY,10.0,Fair,Yellow,"[-88.04800908999994, 35.94960624400005]"
146,03017640001,Benton,CITY OR MUNICIPAL HIGHWAY AGENCY,48.0,Fair,Yellow,"[-88.08202233599997, 36.045812375000025]"
147,03017640003,Benton,COUNTY HIGHWAY AGENCY,53.0,Fair,Yellow,"[-88.06654757799998, 36.027789419000044]"
148,03017700003,Benton,COUNTY HIGHWAY AGENCY,34.0,Fair,Yellow,"[-88.08669163299999, 36.13431597300007]"
149,03017720001,Benton,STATE HIGHWAY AGENCY,41.0,Poor,Orange,"[-88.06066143599998, 36.245293436000054]"
150,05I01400002,Blount,STATE HIGHWAY AGENCY,28.0,Good,Green,"[-83.99986457799997, 35.84897458200004]"
151,05I01400004,Blount,STATE HIGHWAY AGENCY,28.0,Good,Green,"[-83.99336704099994, 35.846215753000024]"
152,78S25330007,Sevier,COUNTY HIGHWAY AGENCY,68.0,Good,Green,"[-83.49923774199993, 35.78478866800003]"
153,05SR0330001,Blount,STATE HIGHWAY AGENCY,88.0,Fair,Yellow,"[-84.10700330599997, 35.662541899000075]"
154,05SR0330005,Blount,STATE HIGHWAY AGENCY,12.0,Good,Green,"[-83.96875515099998, 35.758534488000066]"
155,02S42880001,Bedford,COUNTY HIGHWAY AGENCY,65.0,Good,Green,"[-86.54122258699994, 35.60098798800004]"
156,02S42880005,Bedford,COUNTY HIGHWAY AGENCY,62.0,Good,Green,"[-86.52636912699995, 35.595750922000036]"
157,03009070001,Benton,COUNTY HIGHWAY AGENCY,32.0,Fair,Yellow,"[-88.06935585199994, 35.85395622800007]"
158,03S80400001,Benton,COUNTY HIGHWAY AGENCY,60.0,Fair,Yellow,"[-88.20579250999998, 36.05244431700004]"
159,03S80400021,Benton,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-88.207159, 36.08348923900007]"
160,03S80400005,Benton,COUNTY HIGHWAY AGENCY,65.0,Fair,Yellow,"[-88.20164571799995, 36.10364651400005]"
161,03S80400011,Benton,COUNTY HIGHWAY AGENCY,64.0,Fair,Yellow,"[-88.16131000199994, 36.151159008000036]"
162,03S80400015,Benton,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-88.13471952099997, 36.174187508000045]"
163,03017550001,Benton,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-88.11872466899996, 36.19735936400008]"
164,03S80400019,Benton,COUNTY HIGHWAY AGENCY,68.0,Poor,Orange,"[-88.11488163899998, 36.20791670600005]"
165,03017430001,Benton,COUNTY HIGHWAY AGENCY,6.0,Fair,Yellow,"[-88.15362493799995, 35.846289644000024]"
166,03017450003,Benton,COUNTY HIGHWAY AGENCY,27.0,Fair,Yellow,"[-88.08577356199999, 35.924889205000056]"
167,06SR0740007,Bradley,STATE HIGHWAY AGENCY,79.0,Good,Green,"[-84.82298445599997, 35.08956598000003]"
168,06011870007,Bradley,STATE HIGHWAY AGENCY,58.0,Good,Green,"[-84.88646332299999, 35.23802191000004]"
169,06S43110003,Bradley,STATE HIGHWAY AGENCY,58.0,Good,Green,"[-84.85942012599997, 35.27957033900003]"
170,06S11600001,Bradley,STATE HIGHWAY AGENCY,26.0,Good,Green,"[-84.84758667999995, 35.30997333200003]"
171,06I00750003,Bradley,STATE HIGHWAY AGENCY,55.0,Good,Green,"[-84.94765148599998, 35.15218647300003]"
172,06SR0020003,Bradley,STATE HIGHWAY AGENCY,46.0,Good,Green,"[-84.92381773999995, 35.14339118700008]"
173,06SR0404005,Bradley,STATE HIGHWAY AGENCY,46.0,Good,Green,"[-84.89697036599995, 35.13378839200004]"
174,02019930009,Bedford,COUNTY HIGHWAY AGENCY,43.0,Good,Green,"[-86.42188186799996, 35.37365464000004]"
175,06SR0404009,Bradley,STATE HIGHWAY AGENCY,46.0,Good,Green,"[-84.88956540299995, 35.13269895900004]"
176,02S42880007,Bedford,COUNTY HIGHWAY AGENCY,73.0,Good,Green,"[-86.51740090899995, 35.60513080900006]"
177,02S62600001,Bedford,COUNTY HIGHWAY AGENCY,53.0,Fair,Yellow,"[-86.41829904399998, 35.54046819000007]"
178,02S42780001,Bedford,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-86.62297968499996, 35.635286241000074]"
179,02019800001,Bedford,COUNTY HIGHWAY AGENCY,35.0,Good,Green,"[-86.43338152599995, 35.347673721000035]"
180,02019880001,Bedford,COUNTY HIGHWAY AGENCY,6.0,Good,Green,"[-86.64123384899995, 35.45045429500004]"
181,02019880003,Bedford,COUNTY HIGHWAY AGENCY,41.0,Fair,Yellow,"[-86.61141359499999, 35.45890157700006]"
182,02019930001,Bedford,COUNTY HIGHWAY AGENCY,58.0,Good,Green,"[-86.44449045899995, 35.32986416000006]"
183,05023930005,Blount,COUNTY HIGHWAY AGENCY,20.0,Good,Green,"[-84.03813622699994, 35.62200649600004]"
184,050A5200001,Blount,COUNTY HIGHWAY AGENCY,25.0,Fair,Yellow,"[-83.85041941399999, 35.77340285900004]"
185,05SR0350004,Blount,STATE HIGHWAY AGENCY,94.0,Fair,Yellow,"[-83.98444549499999, 35.78190819800005]"
186,05SR0350007,Blount,STATE HIGHWAY AGENCY,95.0,Fair,Yellow,"[-83.95760377599998, 35.75914906000003]"
187,05SR0350009,Blount,STATE HIGHWAY AGENCY,32.0,Good,Green,"[-83.88438736599994, 35.78613896500008]"
188,05SR0730003,Blount,STATE HIGHWAY AGENCY,39.0,Good,Green,"[-84.12849723399995, 35.754052115000036]"
189,05SR0730006,Blount,STATE HIGHWAY AGENCY,41.0,Good,Green,"[-84.03091504699995, 35.75608737600004]"
190,05SR0730009,Blount,STATE HIGHWAY AGENCY,79.0,Fair,Yellow,"[-83.95363715799994, 35.75504225900005]"
191,05SR0730013,Blount,STATE HIGHWAY AGENCY,79.0,Good,Green,"[-83.89689643399998, 35.75734992300005]"
192,05SR0730015,Blount,STATE HIGHWAY AGENCY,32.0,Good,Green,"[-83.88052212099996, 35.758246823000036]"
193,05SR0730016,Blount,STATE HIGHWAY AGENCY,32.0,Good,Green,"[-83.88052212099996, 35.758246823000036]"
194,05SR0730019,Blount,STATE HIGHWAY AGENCY,65.0,Good,Green,"[-83.83190708699999, 35.74260402300007]"
195,06011870003,Bradley,COUNTY HIGHWAY AGENCY,53.0,Good,Green,"[-84.91087906199994, 35.182068077000054]"
196,06S44210003,Bradley,COUNTY HIGHWAY AGENCY,68.0,Fair,Yellow,"[-84.97511609499998, 35.17244687800007]"
197,06022650003,Bradley,COUNTY HIGHWAY AGENCY,83.0,Good,Green,"[-84.77831757899997, 35.18621575200007]"
198,01024600001,Anderson,COUNTY HIGHWAY AGENCY,7.0,Good,Green,"[-84.18803477999995, 36.18074122000007]"
199,01024620003,Anderson,COUNTY HIGHWAY AGENCY,23.0,Good,Green,"[-84.16945252899995, 36.21696857500007]"
200,01M37290001,Anderson,CITY OR MUNICIPAL HIGHWAY AGENCY,43.0,Fair,Yellow,"[-84.27785685899994, 36.011560573000054]"
201,01M37360001,Anderson,CITY OR MUNICIPAL HIGHWAY AGENCY,37.0,Fair,Yellow,"[-84.25814242999996, 36.00448903900008]"
202,060A0550001,Bradley,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-84.96759980399997, 35.17782198800006]"
203,06SR0404001,Bradley,STATE HIGHWAY AGENCY,53.0,Good,Green,"[-84.92864770399996, 35.14581834100005]"
204,060A0770001,Bradley,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-84.95537938199999, 35.17725148000005]"
205,060A0770003,Bradley,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-84.94514259399995, 35.16820339100008]"
206,060A0770005,Bradley,COUNTY HIGHWAY AGENCY,53.0,Good,Green,"[-84.91902510599994, 35.17383170200003]"
207,060A0830001,Bradley,COUNTY HIGHWAY AGENCY,53.0,Good,Green,"[-84.92245201899999, 35.175268198000026]"
208,060A0990001,Bradley,COUNTY HIGHWAY AGENCY,31.0,Good,Green,"[-84.96681146699996, 35.172215891000064]"
209,060B2570001,Bradley,COUNTY HIGHWAY AGENCY,26.0,Good,Green,"[-84.93989022399995, 35.10302724300004]"
210,07S25260011,Campbell,COUNTY HIGHWAY AGENCY,25.0,Good,Green,"[-84.27785766899996, 36.40129862400005]"
211,07S25820001,Campbell,COUNTY HIGHWAY AGENCY,31.0,Fair,Yellow,"[-84.04139899599994, 36.46246344100007]"
212,07S23440001,Campbell,COUNTY HIGHWAY AGENCY,41.0,Fair,Yellow,"[-84.33049475799999, 36.23811377000004]"
213,07024250007,Campbell,COUNTY HIGHWAY AGENCY,96.0,Fair,Yellow,"[-84.24291691399998, 36.32060618000003]"
214,07024250003,Campbell,COUNTY HIGHWAY AGENCY,96.0,Fair,Yellow,"[-84.26177503099996, 36.352618077000045]"
215,07024250001,Campbell,COUNTY HIGHWAY AGENCY,88.0,Poor,Orange,"[-84.27944166799995, 36.39199996900004]"
216,07G00030001,Campbell,CITY OR MUNICIPAL HIGHWAY AGENCY,35.0,Fair,Yellow,"[-84.13889440599996, 36.583152082000026]"
